Participante;Reality;Lugar;Seguidores en Instagram
catalina bono;protagonista de la fama;1;28900
alvaro ballero;protagonista de la fama;2;240000
oscar garces;protagonista de la fama;3;148000
;;;
;;;
javier estrada;granja vip;1;10700
gabriel mendoza (coca);granja vip;2;31400
maria victoria lissidino;granja vip;3;8363
;;;
;;;
sebastian roca;mundos opuestos;1;32900
viviana flores;mundos opuestos;2;65300
david dubo;mundos opuestos;3;13500
;;;
;;;
luis mateucci;volverias con tu ex;1;992000
oriana marzoli;volverias con tu ex;2;2400000
camila recabarren;volverias con tu ex;3;2000000
;;;
;;;
constanza capelli;gran hermano;1;368000
scarlette galvez;gran hermano;2;389000
jennifer galvarini;gran hermano;3;333000